V Mag. (mV),Proper name,Bayer designation,Brightest Stars Distance (ly),Spectral class,Brown dwarf,Constellation,Declination,Brown Dwarf Distance (ly),Spectral Type,Mass (MJ),Radius (RJ),Discovery Year,gravity
5.4,R Doradus,Dor,0178,M8,Kelu-1A,Hydra,−25° 41′ 6″,61.0,L2,1.19616558516e+29,70062374.71799994,1997.0,1626.3267253144513
5.47,Polaris Australis,Oct,0281,F0,Kelu-1B,Hydra,−25° 41′ 6″,61.0,L4,1.10123180856e+29,70062374.71799994,1997.0,1497.2531756863204
5.71,R Coronae Borealis,Bor,4566.0,G0,SDSSp J132629.82-003831.5[de],Virgo,−0° 38′ 31.4″,65.0,L8:,9.6832452132e+28,69347452.52699994,2000.0,1343.8354958456177
5.88,54 Piscium,Psc,036.1,K0,SDSSp J134646.45-003150.4[de],Virgo,−0° 31′ 50.1″,48.0,T6.5,8.3541723408e+28,67202685.95399994,2000.0,1234.571849426372
6.57,Mira,ο Ceti,0300,M7,SDSS J141659.78+500626.4[de],Boötes,50° 6′ 25.8″,149.0,L4.5,1.12021856388e+29,70777296.90899992,2006.0,1492.45423665107
6.65,RW Cephei,Cep,14000.0,K2,DENIS-P J142527.97-365023.4[de],Centaurus,−36° 50′ 22.9″,38.0,L3:,3.9872186172e+28,94369729.21199998,2004.0,298.8070452617074
6.67,Lacaille 8760,Mic,012.87,M0,LHS 2924,Boötes,+33° 10′ 39.1″,38.5,M9V,1.4429934043200003e+29,75781752.246,,1676.9544351685865
6.75,V838 Monocerotis,Mon,19896.0,M6,2MASS J14482563+1031590[de],Boötes,10° 31′ 59″,47.0,L4:,1.12021856388e+29,70777296.90899992,2003.0,1492.45423665107
7.20,HD 140283,Lib,0202,G0IV-V,CFBDSIR 1458+10A,Boötes,+10° 13′ 43″,104.0,T9,2.10752984052e+28,107238328.64999998,2010.0,122.30940723535213
7.4,II Pegasi,Peg,0130,K2,CFBDSIR 1458+10B,Boötes,+10° 13′ 43″,104.0,Y0,1.7088079788000001e+28,92939884.82999992,2010.0,132.03078503736253
8.05,VY Canis Majoris,CMa,3900.0,M5,2MASS 1503+2525,Boötes,25° 25′ 19.6″,20.7,T5,8.3541723408e+28,67202685.95399994,2003.0,1234.571849426372
8.3,Pistol Star,Sgr,25000.0,B3,2MASSW J1506544+132106[de],Boötes,13° 21′ 6″,46.0,L3,1.3100861170800002e+29,72922063.482,2000.0,1644.251125977917
8.6,S Doradus,Dor,169000.0,B8,2MASS 1507−1627,Libra,−16° 27′ 38.6″,23.9,L5,1.1392053192000001e+29,70777296.90899992,2000.0,1517.7500711705798
8.9,UY Scuti,Sct,5100.0,M4,2MASSW J1515008+484742[de],Boötes,48° 47′ 41.6″,34.0,L6,1.08224505324e+29,70777296.90899992,2003.0,1441.8625676120507
9.5,Barnard's Star,Oph,05.98,M4,2MASSI J1526140+204341[de],Serpens,20° 43′ 41.4″,67.0,L7,1.02528478728e+29,70062374.71799994,2000.0,1393.9943359838155
11.13,HE 1523-0901,Lib,10000.0,CEMP-no,DENIS-P J153941.96-052042.4[de],Libra,−5° 20′ 42.8″,51.0,L4,1.19616558516e+29,71492219.1,2004.0,1561.9241869919963
11.13,Proxima Centauri,Cen,04.25,M6,2MASS J15462718-3325111[de],Lupus,−33° 25′ 11.2″,37.0,T5.5,8.3541723408e+28,67202685.95399994,2002.0,1234.571849426372
11.71,KIC 8462852,Cyg,1470.0,F3,2MASSW J1552591+294849[de],Corona Borealis,29° 48′ 48.5″,68.0,L0β,5.6960265960000004e+28,102233873.31299993,2003.0,363.721170901825
12.23,R136a1,Dor,163000.0,WN5,2MASSW J1555157-095605[de],Libra,−9° 56′ 5.5″,44.0,L1,1.34805962772e+29,73636985.673,2002.0,1659.217425103749
12.78,Melnick 42,Dor,163000.0,O2,2MASS J16150413+1340079[de],Hercules,13° 40′ 7.9″,48.0,T6,7.9744372344e+28,67202685.95399994,2007.0,1178.4549471797188
14.10,WR 102,Sag,18134.0,WO2,SDSSp J162414.37+002915.6[de],Serpens,0° 29′ 15.8″,36.0,T6,8.164304787600002e+28,67202685.95399994,1999.0,1206.5133983030455
14.38,VFTS 352,Dor,164000.0,O5,2MASS J16262034+3925190[de],Hercules,39° 25′ 19″,110.0,L4sd,1.34805962772e+29,73636985.673,2004.0,1659.217425103749
14.68,YBP 1194,Cnc,2772.0,G5,2MASSW J1632291+190441[de],Hercules,19° 4′ 40.7″,50.0,L8,9.3035101068e+28,69347452.52699994,1999.0,1291.136064635986
14.71,Gliese 1214,Oph,047.5,M4.5,LSPM J1658+7027[de],Draco,70° 27′ 1.5″,60.0,L1,1.38603313836e+29,74351907.864,2000.0,1673.3068242582378
16.20,Luhman 16,Vel,06.50,L7,LSR J1835+3259,Lyra,32° 59′ 54.5″,18.5,M8.5,1.4619801596400004e+29,76496674.437,2003.0,1667.4106478888948
16.6,NML Cygni,Cyg,5251.0,M6,PSO J318.5−22,Capricornus,−22° 51′ 35.8″,80.0,L7VL-G,1.2341390957999999e+28,109383095.223,2013.0,68.84143200551662
17.30,VB 10,Aql,018.72,M8,2MASS J22282889-4310262,Grus,−43° 10′ 26.2″,35.0,T6,7.9744372344e+28,67202685.95399994,2013.0,1178.4549471797188
18.46,WOH G64,Dor,163000.0,M5,WISE 0410+1502,Taurus,15° 2′ 47.47″,20.0,Y0,1.1392053192e+28,83645896.34699993,2010.0,108.66731278795271
18.80,TRAPPIST-1,Aqr,039.6,M8,WISE 0458+6434A,Camelopardalis,64° 34′ 52.72″,35.9,T8.5,2.8480132980000002e+28,300267320.22,2010.0,21.08201310592803
21.05,2MASS J0523-1403,Lep,040.3,L2.5,WISE 0458+6434B,Camelopardalis,64° 34′ 52.72″,35.9,T9.5,1.898675532e+28,271670432.5799999,2010.0,17.16928491175303
25,WISE 0855−0714,Hya,07.27,Y2,WISE 1405+5534,Ursa Major,55° 34′ 21.22″,25.3,Y0 pec,5.6960265960000004e+28,61483308.42599999,2010.0,1005.6428101367512
28.4,Icarus,Leo,14400000000.0,B?,,,,,,,,,
